split,mean_faithfulness,mean_reasonableness,vqa_soft_accuracy
standard,3.9107307893361214,3.5525175668589406,0.5174155346569139
novel,3.8696384535005226,3.7048041884816754,0.4991292232671543
at_cot,3.8737956089911134,3.573895208004213,0.5276907001044933
